pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
36849097	Unintrusive multi-cancer detection by circulating cell-free DNA methylation sequencing (THUNDER): development and independent validation studies.	10.1016/j.annonc.2023.02.010	Annals of oncology : official journal of the European Society for Medical Oncology	2023	multi_cancer	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	1693	mixed	cfDNA_methylation				0.691	0.989	external_validation		7	22	14	13	11	67	True	cat1_cfdna_methylation_mced
37101220	Accurate detection of early-stage lung cancer using a panel of circulating cell-free DNA methylation biomarkers.	10.1186/s40364-023-00486-5	Biomarker research	2023	lung	cfDNA_methylation	early_detection	prospective_cohort	clinical_diagnosis	317	early	cfDNA_methylation	logistic_regression		0.94	0.81	0.98	external_validation		12	18	19	9	3	61	True	cat1_cfdna_methylation_mced
37352875	Multi-cancer early detection test in symptomatic patients referred for cancer investigation in England and Wales (SYMPLIFY): a large-scale, observational cohort study.	10.1016/S1470-2045(23)00277-2	The Lancet. Oncology	2023	multi_cancer	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	6238	mixed	cfDNA_methylation		the diagnosis obtained by standard care to establish the pri				none		6	16	8	15	15	60	True	cat1_cfdna_methylation_mced
41591979	Epigenetic Instability Based Metrics in Cell-Free DNA for Early Cancer Detection.	10.1158/1078-0432.CCR-25-3384	Clinical cancer research : an official journal of the American Association for Cancer Research	2026	lung	cfDNA_methylation	screening	other	both	2084	early	cfDNA_methylation	other_ML					none		15	12	6	2	8	43	False	cat1_cfdna_methylation_mced
41331845	Genome-wide methylation analysis of circulating cell-free DNA identifies an episignature in lung cancer: validation of EMP2 as a potential biomarker.	10.1186/s13148-025-02026-4	Clinical epigenetics	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	47	late	cfDNA_methylation	logistic_regression		0.75			external_validation		12	10	6	5	8	41	False	cat1_cfdna_methylation_mced
35053460	Aberrant Methylation of SLIT2 Gene in Plasma Cell-Free DNA of Non-Small Cell Lung Cancer Patients.	10.3390/cancers14020296	Cancers	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	61		cfDNA_methylation	Cox			0.737	0.619	none		12	4	17	0	3	36	False	cat1_cfdna_methylation_mced
37598236	Advances in methylation analysis of liquid biopsy in early cancer detection of colorectal and lung cancer.	10.1038/s41598-023-40611-w	Scientific reports	2023	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	191	early	cfDNA_methylation	deep_learning		0.956	0.781	0.992	none		12	4	16	0	3	35	False	cat1_cfdna_methylation_mced
34251068	Prediction model for malignant pulmonary nodules based on cfMeDIP-seq and machine learning.	10.1111/cas.15052	Cancer science	2021	other	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation	random_forest				0.91	none		7	2	14	0	10	33	False	cat1_cfdna_methylation_mced
38812772	Diagnostic value of combined detection of plasma cfDNA concentration and integrity in NSCLC.	10.2217/lmt-2023-0009	Lung cancer management	2024	lung	cfDNA_methylation	screening	other	both	53	early	cfDNA_methylation						none		7	4	13	0	8	32	False	cat1_cfdna_methylation_mced
31775567	DNA methylation biomarkers discovered in silico detect cancer in liquid biopsies from non-small cell lung cancer patients.	10.1080/15592294.2019.1695333	Epigenetics	2020	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation			0.956			none		12	4	14	0	2	32	False	cat1_cfdna_methylation_mced
40281631	Plasma cell-free DNA methylation profile before afatinib treatment is associated with progression-free and overall survival of patients with epidermal growth factor receptor gene mutation-positive non-small cell lung cancer.	10.1186/s13148-025-01870-8	Clinical epigenetics	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	103		cfDNA_methylation				0.96		none		12	4	7	0	8	31	False	cat1_cfdna_methylation_mced
34422992	Cell-free DNA from bronchoalveolar lavage fluid (BALF): a new liquid biopsy medium for identifying lung cancer.	10.21037/atm-21-2579	Annals of translational medicine	2021	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	48	early	cfDNA_methylation	other_ML	balf methylation and mutation (p<0		0.71	0.778	none		12	3	14	0	2	31	False	cat1_cfdna_methylation_mced
37038139	HOXA9 gene promotor methylation and copy number variation of SOX2 and HV2 genes in cell free DNA: A potential diagnostic panel for non-small cell lung cancer.	10.1186/s12885-023-10793-7	BMC cancer	2023	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis		mixed	cfDNA_methylation						none		12	2	13	0	3	30	False	cat1_cfdna_methylation_mced
40737714	Pan-cancer methylation analysis of circulating cell-free DNA.	10.1016/j.cancergen.2025.07.014	Cancer genetics	2025	lung	cfDNA_methylation	screening	other	both	103		cfDNA_methylation						none		15	4	6	0	4	29	False	cat1_cfdna_methylation_mced
40765058	Detecting actionable mutations from matched plasma-based versus tissue next-generation sequencing in advanced non-small cell lung cancer: a retrospective single centre analysis on site.	10.1186/s13046-025-03480-x	Journal of experimental & clinical cancer research : CR	2025	lung	cfDNA_methylation	diagnosis	retrospective_cohort	clinical_diagnosis	102		cfDNA_methylation		tissue next-generation sequencing in advanced non-small cell				none	retrospective study	12	7	0	0	8	27	False	cat1_cfdna_methylation_mced
40847031	A prediction model based on cfDNA concentration and cfDNA methylation biomarkers for lung cancer detection.	10.1038/s41598-025-15273-5	Scientific reports	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	179		cfDNA_methylation						none		12	6	4	0	4	26	False	cat1_cfdna_methylation_mced
36400018	Evaluation of cell-free DNA approaches for multi-cancer early detection.	10.1016/j.ccell.2022.10.022	Cancer cell	2022	multi_cancer	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation	other_ML	clinical stage and tumor type, ctaf is a more significant pr				none		7	4	3	0	11	25	False	cat1_cfdna_methylation_mced
38410586	Cell-free DNA methylation profile potential in the diagnosis of lung squamous cell carcinoma.	10.21037/jtd-23-1827	Journal of thoracic disease	2024	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	49	early	cfDNA_methylation	other_ML					none		12	3	6	0	4	25	False	cat1_cfdna_methylation_mced
35126793	A Sight of the Diagnostic Value of Aberrant Cell-Free DNA Methylation in Lung Cancer.	10.1155/2022/9619357	Disease markers	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	29		cfDNA_methylation	other_ML					none		12	6	4	0	3	25	False	cat1_cfdna_methylation_mced
38743638	Ultrasensitive Detection of Tumor Suppressor Gene Methylation by Piezoelectric Sensing Based on Enrichment of Transcription Activator-Like Effectors.	10.1021/acs.analchem.4c00484	Analytical chemistry	2024	lung	cfDNA_methylation	screening	other	both			cfDNA_methylation						none		15	2	3	0	4	24	False	cat1_cfdna_methylation_mced
31791387	Early detection of the major male cancer types in blood-based liquid biopsies using a DNA methylation panel.	10.1186/s13148-019-0779-x	Clinical epigenetics	2019	lung	cfDNA_methylation	screening	other	both			cfDNA_methylation						none		7	2	6	3	6	24	False	cat1_cfdna_methylation_mced
35804466	Evaluating methylation of human ribosomal DNA at each CpG site reveals its utility for cancer detection using cell-free DNA.	10.1093/bib/bbac278	Briefings in bioinformatics	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation			0.84			none		12	2	6	0	3	23	False	cat1_cfdna_methylation_mced
31546933	Subtyping Lung Cancer Using DNA Methylation in Liquid Biopsies.	10.3390/jcm8091500	Journal of clinical medicine	2019	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation		adenocarcinoma in study group #1				none		12	2	6	0	2	22	False	cat1_cfdna_methylation_mced
30516882	DNA methylation analysis of selected genes for the detection of early-stage lung cancer using circulating cell-free DNA.	10.17219/acem/84935	Advances in clinical and experimental medicine : official organ Wroclaw Medical University	2019	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis		early	cfDNA_methylation						none		12	2	6	0	2	22	False	cat1_cfdna_methylation_mced
