pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
35565275	Potential of Inflammatory Protein Signatures for Enhanced Selection of People for Lung Cancer Screening.	10.3390/cancers14092146	Cancers	2022	lung	LDCT	screening	RCT	screening	9940		LDCT|CT|blood_protein|clinical_features						external_validation		13	24	4	13	3	57	True	cat2_single_modality_screening
41419702	Harnessing Native-Resolution 2D Embeddings for Lung Cancer Classification: A Feasibility Study with the RAD-DINO Self-supervised Foundation Model.	10.1007/s10278-025-01748-4	Journal of imaging informatics in medicine	2025	lung	LDCT	screening	other	both	1984		LDCT	other_ML		0.705			external_validation	single‑cohort evaluation, lack of lung‑rads labels in public nlst, and a cxr → ct pretraining shift; future work will pursue external validation and c	13	17	7	7	9	53	True	cat2_single_modality_screening
29496499	Assessment of Plasma Proteomics Biomarker's Ability to Distinguish Benign From Malignant Lung Nodules: Results of the PANOPTIC (Pulmonary Nodule Plasma Proteomic Classifier) Trial.	10.1016/j.chest.2018.02.012	Chest	2018	lung	multimodal	diagnosis	prospective_cohort	clinical_diagnosis	685		proteomics	other_ML			0.97	0.44	none		5	16	14	12	6	53	True	cat2_single_modality_screening
39146624	Non-invasive diagnosis of pulmonary nodules by circulating tumor DNA methylation: A prospective multicenter study.	10.1016/j.lungcan.2024.107930	Lung cancer (Amsterdam, Netherlands)	2024	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	95	early	CT|ctDNA			0.815	0.744	0.737	none	single-center	5	12	17	10	8	52	True	cat2_single_modality_screening
32739872	Development and validation of a novel scoring system developed from a nomogram to identify malignant pleural effusion.	10.1016/j.ebiom.2020.102924	EBioMedicine	2020	lung	blood_protein	diagnosis	retrospective_cohort	clinical_diagnosis	1261		blood_protein	logistic_regression					external_validation	retrospective study	5	19	13	7	6	50	True	cat2_single_modality_screening
40507370	Effectiveness of Artificial Intelligence Models in Predicting Lung Cancer Recurrence: A Gene Biomarker-Driven Review.	10.3390/cancers17111892	Cancers	2025	lung	multimodal	multimodal_fusion	other	clinical_diagnosis	1348		clinical_features	SVM					external_validation		11	16	7	10	4	48	False	cat2_single_modality_screening
37260165	Lung cancer risk discrimination of prediagnostic proteomics measurements compared with existing prediction tools.	10.1093/jnci/djad071	Journal of the National Cancer Institute	2023	lung	other	risk_assessment	prospective_cohort	clinical_diagnosis	624		proteomics		existing prediction tools		0.14	0.86	none		5	16	19	5	3	48	False	cat2_single_modality_screening
39333750	Noninvasive multi-cancer detection using blood-based cell-free microRNAs.	10.1038/s41598-024-73783-0	Scientific reports	2024	lung	other	screening	other	both	4875	mixed	miRNA						external_validation		14	16	6	7	4	47	False	cat2_single_modality_screening
40642085	The prognostic and clinicopathological value of HALP score in non-small cell lung cancer.	10.3389/fimmu.2025.1576326	Frontiers in immunology	2025	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	7024		other						none		5	18	6	12	4	45	False	cat2_single_modality_screening
31037156	Non-invasive diagnosis of early-stage lung cancer using high-throughput targeted DNA methylation sequencing of circulating tumor DNA (ctDNA).	10.7150/thno.28119	Theranostics	2019	lung	LDCT	screening	other	both	118	early	LDCT|ctDNA	other_ML			0.927	0.928	external_validation		13	10	14	5	2	44	False	cat2_single_modality_screening
29438522	RAS mutation analysis in circulating tumor DNA from patients with metastatic colorectal cancer: the AGEO RASANC prospective multicenter study.	10.1093/annonc/mdy061	Annals of oncology : official journal of the European Society for Medical Oncology	2018	lung	other	diagnosis	prospective_cohort	clinical_diagnosis	425	late	ctDNA						none		5	14	3	11	10	43	False	cat2_single_modality_screening
39184040	Construction of a risk prediction model for lung infection after chemotherapy in lung cancer patients based on the machine learning algorithm.	10.3389/fonc.2024.1403392	Frontiers in oncology	2024	lung	multimodal	screening	retrospective_cohort	both	502		clinical_features	random_forest	alternative ml algorithms, achieving an accuracy of 81	0.888	0.811	0.825	none	retrospective study	5	13	19	2	4	43	False	cat2_single_modality_screening
