pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
41323119	Risk-stratified classification of pulmonary nodule malignancy via a machine learning model integrating imaging and cell-free DNA: a model development and validation study (DECIPHER-NODL).	10.1016/j.lanwpc.2025.101730	The Lancet regional health. Western Pacific	2025	lung	cfDNA_methylation	screening	other	both	1356		cfDNA_methylation|LDCT|CT|imaging|cfDNA_fragmentomics	deep_learning	specificities of 0	0.95			external_validation		24	16	17	12	12	81	True	cat5_methylation_multimodal
39165498	Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG).	10.1016/j.eclinm.2024.102769	EClinicalMedicine	2024	lung	cfDNA_methylation	screening	prospective_cohort	both	465		cfDNA_methylation|LDCT|CT	other_ML		0.963	0.992	0.563	external_validation		23	18	19	12	4	76	True	cat5_methylation_multimodal
37567793	Accurate classification of pulmonary nodules by a combined model of clinical, imaging, and cell-free DNA methylation biomarkers: a model development and external validation study.	10.1016/S2589-7500(23)00125-5	The Lancet. Digital health	2023	lung	cfDNA_methylation	early_detection	prospective_cohort	clinical_diagnosis	1380	early	cfDNA_methylation|imaging	ensemble	the cibm and pulmoseek models with an increase of 0·05 in au				external_validation		12	22	14	13	11	72	True	cat5_methylation_multimodal
34258160	A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.	10.1002/advs.202100104	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2021	lung	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis			cfDNA_methylation|LDCT|CT	other_ML		0.86	0.8	0.857	external_validation		17	14	17	8	10	66	True	cat5_methylation_multimodal
39233043	Evaluation and integration of cell-free DNA signatures for detection of lung cancer.	10.1016/j.canlet.2024.217216	Cancer letters	2024	lung	cfDNA_methylation	screening	other	screening	926	mixed	cfDNA_methylation	ensemble		0.961	0.793	0.96	external_validation		15	15	19	7	4	60	True	cat5_methylation_multimodal
39009999	TOTEM: a multi-cancer detection and localization approach using circulating tumor DNA methylation markers.	10.1186/s12885-024-12626-7	BMC cancer	2024	multi_cancer	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	733	early	cfDNA_methylation|ctDNA	other_ML		0.865		0.98	external_validation		7	20	16	13	4	60	True	cat5_methylation_multimodal
37027928	Multi-omics integrated circulating cell-free DNA genomic signatures enhanced the diagnostic performance of early-stage lung cancer and postoperative minimal residual disease.	10.1016/j.ebiom.2023.104553	EBioMedicine	2023	lung	cfDNA_methylation	screening	other	both		early	cfDNA_methylation	SVM		0.912	0.737	0.973	none		15	5	16	10	7	53	True	cat5_methylation_multimodal
41165038	The INSPECTOR study: enhanced feasibility for clinical translation of a multi-cancer early detection method based on enzyme-assisted high signal-to-noise ratio sequencing of methylated circulating tumor DNA.	10.1002/cac2.70071	Cancer communications (London, England)	2025	multi_cancer	cfDNA_methylation	screening	case_control	both	6342	mixed	cfDNA_methylation|ctDNA				0.832	0.991	external_validation		7	18	14	9	4	52	True	cat5_methylation_multimodal
37990399	A Highly Sensitive and Specific Non-Invasive Test through Genome-Wide 5-Hydroxymethylation Mapping for Early Detection of Lung Cancer.	10.1002/smtd.202300747	Small methods	2024	lung	cfDNA_methylation	screening	other	both	1092	early	cfDNA_methylation|LDCT|CT	other_ML					external_validation		20	16	4	7	4	51	True	cat5_methylation_multimodal
41672932	LedX: A novel blood-based early lung cancer detection approach with exceptional accuracy and robustness.	10.1097/CM9.0000000000003972	Chinese medical journal	2026	lung	cfDNA_methylation	screening	other	both	325	early	cfDNA_methylation|LDCT|CT|ctDNA		ldct or ledx alone		0.82	0.817	none		20	6	17	1	4	48	False	cat5_methylation_multimodal
39748775	Combination of Hotspot Mutations With Methylation and Fragmentomic Profiles to Enhance Multi-Cancer Early Detection.	10.1002/cam4.70575	Cancer medicine	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	304	mixed	cfDNA_methylation|ctDNA				0.785	0.977	none		14	9	14	1	8	46	False	cat5_methylation_multimodal
41737326	Exploration of multi-omics liquid biopsy approaches for multi-cancer early detection: The PROMISE study.	10.1016/j.xinn.2025.101076	Innovation (Cambridge (Mass.))	2026	multi_cancer	cfDNA_methylation	diagnosis	other	clinical_diagnosis	1706		cfDNA_methylation	other_ML	the methylation-based classifier, the multimodal classifier		0.751	0.988	none		10	12	16	2	4	44	False	cat5_methylation_multimodal
41077273	Pulmonary nodules: A study on combined diagnostic methods and therapeutic evaluation.	10.1016/j.cca.2025.120647	Clinica chimica acta; international journal of clinical chemistry	2026	lung	cfDNA_methylation	screening	other	both	141		cfDNA_methylation|LDCT|CT|blood_protein|imaging	logistic_regression		0.7743	0.78	0.768	none		20	4	16	0	4	44	False	cat5_methylation_multimodal
39747216	Integrated multiomics signatures to optimize the accurate diagnosis of lung cancer.	10.1038/s41467-024-55594-z	Nature communications	2025	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	2032		cfDNA_methylation						none		12	12	4	2	12	42	False	cat5_methylation_multimodal
35073982	Integrated 5-hydroxymethylcytosine and fragmentation signatures as enhanced biomarkers in lung cancer.	10.1186/s13148-022-01233-7	Clinical epigenetics	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	157	late	cfDNA_methylation|cfDNA_fragmentomics			0.9257	0.875	0.8387	none		12	6	17	0	7	42	False	cat5_methylation_multimodal
39431470	Evaluation of a multimodal ctDNA-based assay for detection of aggressive cancers lacking standard screening tests.	10.1080/14796694.2024.2413266	Future oncology (London, England)	2025	lung	cfDNA_methylation	screening	other	both	739	mixed	cfDNA_methylation|cfDNA_fragmentomics|ctDNA				0.607		none		18	8	10	2	4	42	False	cat5_methylation_multimodal
38315228	Detection of the DNA methylation of seven genes contribute to the early diagnosis of lung cancer.	10.1007/s00432-023-05588-z	Journal of cancer research and clinical oncology	2024	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis	149		cfDNA_methylation|LDCT|CT	logistic_regression	the healthy group				none		17	4	13	0	8	42	False	cat5_methylation_multimodal
35583893	One sample fits all: a microfluidic-assisted methodology for label-free isolation of CTCs with downstream methylation analysis of cfDNA in lung cancer.	10.1039/d2bm00044j	Biomaterials science	2022	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis		late	cfDNA_methylation				0.7619	1.0	none		15	2	14	0	11	42	False	cat5_methylation_multimodal
41869572	Evaluation of DNA Methylation in TAC1, SOX17, and RASSF1A for the Early Diagnosis of Lung Cancer.	10.2147/CMAR.S573663	Cancer management and research	2026	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis	149	mixed	cfDNA_methylation|LDCT|CT		benign/healthy individuals	0.95	0.977	0.966	none		17	4	16	0	4	41	False	cat5_methylation_multimodal
38856716	Noninvasive Lung Cancer Subtype Classification Using Tumor-Derived Signatures and cfDNA Methylome.	10.1158/2767-9764.CRC-23-0564	Cancer research communications	2024	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis			cfDNA_methylation|cfDNA_fragmentomics	other_ML		0.808			external_validation		12	8	6	5	8	39	False	cat5_methylation_multimodal
36379302	A method for early diagnosis of lung cancer from tumor originated DNA fragments using plasma cfDNA methylome and fragmentome profiles.	10.1016/j.mcp.2022.101873	Molecular and cellular probes	2022	lung	cfDNA_methylation	early_detection	other	clinical_diagnosis	6243	early	cfDNA_methylation|cfDNA_fragmentomics|ctDNA	other_ML					none		12	10	4	2	11	39	False	cat5_methylation_multimodal
35600397	Precision Oncology: Artificial Intelligence and DNA Methylation Analysis of Circulating Cell-Free DNA for Lung Cancer Detection.	10.3389/fonc.2022.790645	Frontiers in oncology	2022	lung	cfDNA_methylation	screening	other	both			cfDNA_methylation|ctDNA	deep_learning					none		18	4	14	0	3	39	False	cat5_methylation_multimodal
39380154	Transformer-based representation learning and multiple-instance learning for cancer diagnosis exclusively from raw sequencing fragments of bisulfite-treated plasma cell-free DNA.	10.1002/1878-0261.13745	Molecular oncology	2024	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	5389		cfDNA_methylation|cfDNA_fragmentomics	deep_learning	control and among different cancer types	0.91			none		12	12	9	2	4	39	False	cat5_methylation_multimodal
41194150	The role of dynamic monitoring of plasma cell-free DNA methylation in predicting pathological response in resectable stage IIB-IIIB non-small cell lung cancer: biomarker analyses from a prospective phase II trial.	10.1186/s12916-025-04419-x	BMC medicine	2025	lung	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	100		cfDNA_methylation|cfDNA_fragmentomics		high 78	0.86			none		12	10	9	3	4	38	False	cat5_methylation_multimodal
38926407	Deep learning model integrating cfDNA methylation and fragment size profiles for lung cancer diagnosis.	10.1038/s41598-024-63411-2	Scientific reports	2024	lung	cfDNA_methylation	diagnosis	other	clinical_diagnosis	142		cfDNA_methylation|cfDNA_fragmentomics	deep_learning					none		15	6	12	0	4	37	False	cat5_methylation_multimodal
41763445	Multi-omics biomarkers in cadmium-related lung toxicity and carcinogenesis.	10.1016/j.cca.2026.120933	Clinica chimica acta; international journal of clinical chemistry	2026	other	cfDNA_methylation	screening	prospective_cohort	both			cfDNA_methylation|ctDNA|miRNA						none		7	10	12	3	4	36	False	cat5_methylation_multimodal
37819044	Multimodal analysis of methylomics and fragmentomics in plasma cell-free DNA for multi-cancer early detection and localization.	10.7554/eLife.89083	eLife	2023	multi_cancer	cfDNA_methylation	screening	other	screening	1550	mixed	cfDNA_methylation|cfDNA_fragmentomics|ctDNA	other_ML			0.724		none		10	10	10	2	3	35	False	cat5_methylation_multimodal
