pmid	title	doi	journal	pub_year	cancer_type	modality	task_type	study_design	screening_or_clinical	cohort_size	stage_info	input_modalities	model_type	comparator	auc	sensitivity	specificity	validation_type	key_limitations	relevance	design_quality	metric_comparability	generalizability	impact	total_score	core_library	category
41323119	Risk-stratified classification of pulmonary nodule malignancy via a machine learning model integrating imaging and cell-free DNA: a model development and validation study (DECIPHER-NODL).	10.1016/j.lanwpc.2025.101730	The Lancet regional health. Western Pacific	2025	lung	cfDNA_methylation	screening	other	both	1356		cfDNA_methylation|LDCT|CT|imaging|cfDNA_fragmentomics	deep_learning	specificities of 0	0.95			external_validation		24	16	17	12	12	81	True	cat5_methylation_multimodal
39165498	Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG).	10.1016/j.eclinm.2024.102769	EClinicalMedicine	2024	lung	cfDNA_methylation	screening	prospective_cohort	both	465		cfDNA_methylation|LDCT|CT	other_ML		0.963	0.992	0.563	external_validation		23	18	19	12	4	76	True	cat5_methylation_multimodal
37567793	Accurate classification of pulmonary nodules by a combined model of clinical, imaging, and cell-free DNA methylation biomarkers: a model development and external validation study.	10.1016/S2589-7500(23)00125-5	The Lancet. Digital health	2023	lung	cfDNA_methylation	early_detection	prospective_cohort	clinical_diagnosis	1380	early	cfDNA_methylation|imaging	ensemble	the cibm and pulmoseek models with an increase of 0·05 in au				external_validation		12	22	14	13	11	72	True	cat5_methylation_multimodal
36849097	Unintrusive multi-cancer detection by circulating cell-free DNA methylation sequencing (THUNDER): development and independent validation studies.	10.1016/j.annonc.2023.02.010	Annals of oncology : official journal of the European Society for Medical Oncology	2023	multi_cancer	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	1693	mixed	cfDNA_methylation				0.691	0.989	external_validation		7	22	14	13	11	67	True	cat1_cfdna_methylation_mced
34258160	A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.	10.1002/advs.202100104	Advanced science (Weinheim, Baden-Wurttemberg, Germany)	2021	lung	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis			cfDNA_methylation|LDCT|CT	other_ML		0.86	0.8	0.857	external_validation		17	14	17	8	10	66	True	cat5_methylation_multimodal
35311112	A Classifier for Improving Early Lung Cancer Diagnosis Incorporating Artificial Intelligence and Liquid Biopsy.	10.3389/fonc.2022.853801	Frontiers in oncology	2022	lung	LDCT	screening	prospective_cohort	both	560		LDCT|CT|clinical_features	other_ML		0.895	0.8953	0.8131	external_validation		16	20	17	10	3	66	True	cat4_physical_exam_ai_model
35108060	Lung cancer scRNA-seq and lipidomics reveal aberrant lipid metabolism for early-stage diagnosis.	10.1126/scitranslmed.abk2756	Science translational medicine	2022	lung	LDCT	screening	prospective_cohort	both	1036	early	LDCT|CT|imaging	SVM					external_validation		16	22	6	10	11	65	True	cat4_physical_exam_ai_model
37101220	Accurate detection of early-stage lung cancer using a panel of circulating cell-free DNA methylation biomarkers.	10.1186/s40364-023-00486-5	Biomarker research	2023	lung	cfDNA_methylation	early_detection	prospective_cohort	clinical_diagnosis	317	early	cfDNA_methylation	logistic_regression		0.94	0.81	0.98	external_validation		12	18	19	9	3	61	True	cat1_cfdna_methylation_mced
40478347	Beyond nodules: body composition as a biomarker for future lung cancer.	10.1007/s00330-025-11735-6	European radiology	2025	lung	LDCT	screening	retrospective_cohort	both	16360		LDCT|CT|clinical_features	Cox		0.77			external_validation	retrospective study	13	19	9	7	13	61	True	cat3_physical_exam_traditional_model
39233043	Evaluation and integration of cell-free DNA signatures for detection of lung cancer.	10.1016/j.canlet.2024.217216	Cancer letters	2024	lung	cfDNA_methylation	screening	other	screening	926	mixed	cfDNA_methylation	ensemble		0.961	0.793	0.96	external_validation		15	15	19	7	4	60	True	cat5_methylation_multimodal
37352875	Multi-cancer early detection test in symptomatic patients referred for cancer investigation in England and Wales (SYMPLIFY): a large-scale, observational cohort study.	10.1016/S1470-2045(23)00277-2	The Lancet. Oncology	2023	multi_cancer	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	6238	mixed	cfDNA_methylation		the diagnosis obtained by standard care to establish the pri				none		6	16	8	15	15	60	True	cat1_cfdna_methylation_mced
39009999	TOTEM: a multi-cancer detection and localization approach using circulating tumor DNA methylation markers.	10.1186/s12885-024-12626-7	BMC cancer	2024	multi_cancer	cfDNA_methylation	diagnosis	prospective_cohort	clinical_diagnosis	733	early	cfDNA_methylation|ctDNA	other_ML		0.865		0.98	external_validation		7	20	16	13	4	60	True	cat5_methylation_multimodal
38042167	Low-dose CT screening among never-smokers with or without a family history of lung cancer in Taiwan: a prospective cohort study.	10.1016/S2213-2600(23)00338-7	The Lancet. Respiratory medicine	2024	lung	LDCT	screening	prospective_cohort	both	6009	mixed	LDCT|clinical_features	logistic_regression					none		13	16	6	12	12	59	True	cat3_physical_exam_traditional_model
35699582	Deep Learning to Optimize Candidate Selection for Lung Cancer CT Screening: Advancing the 2021 USPSTF Recommendations.	10.1148/radiol.212877	Radiology	2022	lung	LDCT	screening	retrospective_cohort	screening	7835		LDCT	deep_learning					external_validation	single-center; retrospective study	16	19	7	10	7	59	True	cat4_physical_exam_ai_model
41833807	Integrating deep learning of low-dose computed tomography with clinical data for lung cancer risk prediction.	10.1016/j.chest.2026.02.022	Chest	2026	lung	LDCT	screening	retrospective_cohort	both	22469		LDCT|CT|clinical_features	deep_learning	sybil (auc=0	0.64			external_validation		16	19	9	7	8	59	True	cat4_physical_exam_ai_model
40956165	External Test of a Deep Learning Algorithm for Pulmonary Nodule Malignancy Risk Stratification Using European Screening Data.	10.1148/radiol.250874	Radiology	2025	lung	LDCT	screening	retrospective_cohort	both	4146		LDCT|clinical_features	deep_learning	the pan-canadian early detection of lung cancer (pancan) mod				none	retrospective study	16	13	8	12	8	57	True	cat4_physical_exam_ai_model
35565275	Potential of Inflammatory Protein Signatures for Enhanced Selection of People for Lung Cancer Screening.	10.3390/cancers14092146	Cancers	2022	lung	LDCT	screening	RCT	screening	9940		LDCT|CT|blood_protein|clinical_features						external_validation		13	24	4	13	3	57	True	cat2_single_modality_screening
34017001	Deep learning predicts cardiovascular disease risks from lung cancer screening low dose computed tomography.	10.1038/s41467-021-23235-4	Nature communications	2021	lung	LDCT	screening	other	screening	2085		LDCT|CT	deep_learning		0.768			none		16	14	6	10	10	56	True	cat4_physical_exam_ai_model
40133038	Cost-effective shallow genome-wide sequencing for profiling plasma cfDNA signatures to enhance lung cancer detection.	10.1080/14796694.2025.2483154	Future oncology (London, England)	2025	lung	LDCT	screening	other	both	168	early	LDCT|CT|cfDNA_fragmentomics|ctDNA	ensemble		0.97		0.92	external_validation		20	11	15	5	4	55	True	cat4_physical_exam_ai_model
40831733	A multivariate cell-based liquid biopsy for lung nodule risk stratification: Analytical validation and early clinical evaluation.	10.1016/j.jlb.2025.100313	The journal of liquid biopsy	2025	lung	LDCT	screening	prospective_cohort	both	176	mixed	LDCT|imaging	ensemble	control transcriptomic signals were enriched for hypoxia-res	0.64			none		19	12	17	3	4	55	True	cat4_physical_exam_ai_model
39958220	Deep learning-based lung cancer risk assessment using chest computed tomography images without pulmonary nodules ≥8 mm.	10.21037/tlcr-24-882	Translational lung cancer research	2025	lung	LDCT	screening	prospective_cohort	both	1064		LDCT|CT	deep_learning					none		16	18	5	8	8	55	True	cat4_physical_exam_ai_model
36634294	Sybil: A Validated Deep Learning Model to Predict Future Lung Cancer Risk From a Single Low-Dose Chest Computed Tomography.	10.1200/JCO.22.01345	Journal of clinical oncology : official journal of the American Society of Clinical Oncology	2023	lung	LDCT	screening	other	both			LDCT|CT|clinical_features|imaging	deep_learning					external_validation		16	8	7	8	15	54	True	cat4_physical_exam_ai_model
37027928	Multi-omics integrated circulating cell-free DNA genomic signatures enhanced the diagnostic performance of early-stage lung cancer and postoperative minimal residual disease.	10.1016/j.ebiom.2023.104553	EBioMedicine	2023	lung	cfDNA_methylation	screening	other	both		early	cfDNA_methylation	SVM		0.912	0.737	0.973	none		15	5	16	10	7	53	True	cat5_methylation_multimodal
39484267	Body composition as a biomarker for assessing future lung cancer risk.	10.1101/2024.10.14.24315477	medRxiv : the preprint server for health sciences	2024	lung	LDCT	screening	other	screening	16435		LDCT|CT|clinical_features	Cox		0.76			none		16	11	9	2	15	53	True	cat4_physical_exam_ai_model
41419702	Harnessing Native-Resolution 2D Embeddings for Lung Cancer Classification: A Feasibility Study with the RAD-DINO Self-supervised Foundation Model.	10.1007/s10278-025-01748-4	Journal of imaging informatics in medicine	2025	lung	LDCT	screening	other	both	1984		LDCT	other_ML		0.705			external_validation	single‑cohort evaluation, lack of lung‑rads labels in public nlst, and a cxr → ct pretraining shift; future work will pursue external validation and c	13	17	7	7	9	53	True	cat2_single_modality_screening
36174098	Development of deep learning-assisted overscan decision algorithm in low-dose chest CT: Application to lung cancer screening in Korean National CT accreditation program.	10.1371/journal.pone.0275531	PloS one	2022	lung	LDCT	screening	retrospective_cohort	screening	210		LDCT|CT|imaging	deep_learning					external_validation	single institution	16	15	15	4	3	53	True	cat4_physical_exam_ai_model
29496499	Assessment of Plasma Proteomics Biomarker's Ability to Distinguish Benign From Malignant Lung Nodules: Results of the PANOPTIC (Pulmonary Nodule Plasma Proteomic Classifier) Trial.	10.1016/j.chest.2018.02.012	Chest	2018	lung	multimodal	diagnosis	prospective_cohort	clinical_diagnosis	685		proteomics	other_ML			0.97	0.44	none		5	16	14	12	6	53	True	cat2_single_modality_screening
