pmid,title,pub_year_num,rq2_group,is_combo,auc_num,auc_logit,vi,var_approx,sens_num,spec_num,cohort_size_num,validation_type,screening_or_clinical,model_type,design_quality_num,input_modalities
41323119,Risk-stratified classification of pulmonary nodule malignancy via a machine learning model integrating imaging and cell-free DNA: a model development and validation study (DECIPHER-NODL).,2025,meth+fragmentomics,1,0.95,2.9444389791664394,0.015525539512498047,True,,,1356.0,external_validation,both,deep_learning,16,cfDNA_methylation|LDCT|CT|imaging|cfDNA_fragmentomics
39165498,Development and validation of an integrated system for lung cancer screening and post-screening pulmonary nodules management: a proof-of-concept study (ASCEND-LUNG).,2024,meth+imaging,1,0.963,3.2591354991539,0.06035580349719628,True,0.992,0.563,465.0,external_validation,both,other_ML,18,cfDNA_methylation|LDCT|CT
37567793,"Accurate classification of pulmonary nodules by a combined model of clinical, imaging, and cell-free DNA methylation biomarkers: a model development and external validation study.",2023,meth+imaging,1,,,,True,,,1380.0,external_validation,clinical_diagnosis,ensemble,22,cfDNA_methylation|imaging
36849097,Unintrusive multi-cancer detection by circulating cell-free DNA methylation sequencing (THUNDER): development and independent validation studies.,2023,meth_only,0,,,,True,0.691,0.989,1693.0,external_validation,clinical_diagnosis,,22,cfDNA_methylation
34258160,A Noninvasive Multianalytical Approach for Lung Cancer Diagnosis of Patients with Pulmonary Nodules.,2021,meth+imaging,1,0.86,1.815289966638249,0.0830564784053156,True,0.8,0.857,,external_validation,clinical_diagnosis,other_ML,14,cfDNA_methylation|LDCT|CT
37101220,Accurate detection of early-stage lung cancer using a panel of circulating cell-free DNA methylation biomarkers.,2023,meth_only,0,0.94,2.751535313041948,0.055932165469718284,True,0.81,0.98,317.0,external_validation,clinical_diagnosis,logistic_regression,18,cfDNA_methylation
39233043,Evaluation and integration of cell-free DNA signatures for detection of lung cancer.,2024,meth_only,0,0.961,3.204412762840645,0.028813831930186138,True,0.793,0.96,926.0,external_validation,screening,ensemble,15,cfDNA_methylation
37352875,"Multi-cancer early detection test in symptomatic patients referred for cancer investigation in England and Wales (SYMPLIFY): a large-scale, observational cohort study.",2023,meth_only,0,,,,True,,,6238.0,none,clinical_diagnosis,,16,cfDNA_methylation
39009999,TOTEM: a multi-cancer detection and localization approach using circulating tumor DNA methylation markers.,2024,meth+ctDNA,1,0.865,1.8574547284934497,0.011682778678812084,True,,0.98,733.0,external_validation,clinical_diagnosis,other_ML,20,cfDNA_methylation|ctDNA
37027928,Multi-omics integrated circulating cell-free DNA genomic signatures enhanced the diagnostic performance of early-stage lung cancer and postoperative minimal residual disease.,2023,meth_only,0,0.912,2.3383031755961254,0.12460127591706543,True,0.737,0.973,,none,both,SVM,5,cfDNA_methylation
41165038,The INSPECTOR study: enhanced feasibility for clinical translation of a multi-cancer early detection method based on enzyme-assisted high signal-to-noise ratio sequencing of methylated circulating tumor DNA.,2025,meth+ctDNA,1,,,,True,0.832,0.991,6342.0,external_validation,both,,18,cfDNA_methylation|ctDNA
37990399,A Highly Sensitive and Specific Non-Invasive Test through Genome-Wide 5-Hydroxymethylation Mapping for Early Detection of Lung Cancer.,2024,meth+imaging,1,,,,True,,,1092.0,external_validation,both,other_ML,16,cfDNA_methylation|LDCT|CT
41672932,LedX: A novel blood-based early lung cancer detection approach with exceptional accuracy and robustness.,2026,meth+ctDNA,1,,,,True,0.82,0.817,325.0,none,both,,6,cfDNA_methylation|LDCT|CT|ctDNA
39748775,Combination of Hotspot Mutations With Methylation and Fragmentomic Profiles to Enhance Multi-Cancer Early Detection.,2025,meth+ctDNA,1,,,,True,0.785,0.977,304.0,none,clinical_diagnosis,,9,cfDNA_methylation|ctDNA
41737326,Exploration of multi-omics liquid biopsy approaches for multi-cancer early detection: The PROMISE study.,2026,meth_only,0,,,,True,0.751,0.988,1706.0,none,clinical_diagnosis,other_ML,12,cfDNA_methylation
41077273,Pulmonary nodules: A study on combined diagnostic methods and therapeutic evaluation.,2026,meth+imaging,1,0.7743,1.2327527115691879,0.040582618831789374,True,0.78,0.768,141.0,none,both,logistic_regression,4,cfDNA_methylation|LDCT|CT|blood_protein|imaging
41591979,Epigenetic Instability Based Metrics in Cell-Free DNA for Early Cancer Detection.,2026,meth_only,0,,,,True,,,2084.0,none,both,other_ML,12,cfDNA_methylation
39747216,Integrated multiomics signatures to optimize the accurate diagnosis of lung cancer.,2025,meth_only,0,,,,True,,,2032.0,none,clinical_diagnosis,,12,cfDNA_methylation
