D1_patient_selection,D2_index_test,D3_reference_std,D4_flow_timing,pmid,title_short,pub_year
Unclear,Unclear,Unclear,Low,41323119,Risk-stratified classification of pulmonary nodule…,2025
Low,Low,Unclear,Low,39165498,Development and validation of an integrated system…,2024
Low,Low,Low,Low,37567793,Accurate classification of pulmonary nodules by a …,2023
Low,Low,Low,Low,36849097,Unintrusive multi-cancer detection by circulating …,2023
Low,Unclear,Low,Low,34258160,A Noninvasive Multianalytical Approach for Lung Ca…,2021
Low,Low,Unclear,Low,35311112,A Classifier for Improving Early Lung Cancer Diagn…,2022
Low,Low,Unclear,Low,35108060,Lung cancer scRNA-seq and lipidomics reveal aberra…,2022
Low,Low,Low,Low,37101220,Accurate detection of early-stage lung cancer usin…,2023
Unclear,Low,Unclear,Low,40478347,Beyond nodules: body composition as a biomarker fo…,2025
Unclear,Unclear,Unclear,Low,39233043,Evaluation and integration of cell-free DNA signat…,2024
Low,Unclear,Low,Unclear,37352875,Multi-cancer early detection test in symptomatic p…,2023
Low,Low,Low,Low,39009999,TOTEM: a multi-cancer detection and localization a…,2024
Low,Unclear,Unclear,Unclear,38042167,Low-dose CT screening among never-smokers with or …,2024
Unclear,Low,Unclear,Low,35699582,Deep Learning to Optimize Candidate Selection for …,2022
Unclear,Low,Unclear,Low,41833807,Integrating deep learning of low-dose computed tom…,2026
Unclear,Unclear,Unclear,High,40956165,External Test of a Deep Learning Algorithm for Pul…,2025
Unclear,Low,Unclear,Low,35565275,Potential of Inflammatory Protein Signatures for E…,2022
Unclear,Unclear,Unclear,Unclear,34017001,Deep learning predicts cardiovascular disease risk…,2021
Unclear,Unclear,Unclear,Low,40133038,Cost-effective shallow genome-wide sequencing for …,2025
Low,Unclear,Unclear,Unclear,40831733,A multivariate cell-based liquid biopsy for lung n…,2025
Low,Low,Unclear,Unclear,39958220,Deep learning-based lung cancer risk assessment us…,2025
Unclear,Unclear,Unclear,Low,36634294,Sybil: A Validated Deep Learning Model to Predict …,2023
Unclear,Unclear,Unclear,Unclear,37027928,Multi-omics integrated circulating cell-free DNA g…,2023
Unclear,Unclear,Unclear,Unclear,39484267,Body composition as a biomarker for assessing futu…,2024
Unclear,Unclear,Unclear,Low,41419702,Harnessing Native-Resolution 2D Embeddings for Lun…,2025
Unclear,Unclear,Unclear,Low,36174098,Development of deep learning-assisted overscan dec…,2022
Low,Unclear,Low,Unclear,29496499,Assessment of Plasma Proteomics Biomarker's Abilit…,2018
Unclear,Unclear,Low,Unclear,39146624,Non-invasive diagnosis of pulmonary nodules by cir…,2024
Low,Unclear,Unclear,Unclear,33092589,Artificial neural networks improve LDCT lung cance…,2020
Low,Low,Unclear,Low,38214839,Computer-aided diagnosis of distal metastasis in n…,2024
High,Low,Unclear,Low,41165038,The INSPECTOR study: enhanced feasibility for clin…,2025
Unclear,Low,Unclear,Unclear,34528761,Evaluating the clinical trends and benefits of low…,2021
Unclear,Unclear,Unclear,Low,37990399,A Highly Sensitive and Specific Non-Invasive Test …,2024
Unclear,Unclear,Unclear,Unclear,36701900,OWL: an optimized and independently validated mach…,2023
Unclear,Unclear,Unclear,Unclear,36832135,Machine Learning System for Lung Neoplasms Disting…,2023
Unclear,Unclear,Unclear,Low,37248730,Benign-malignant classification of pulmonary nodul…,2023
Unclear,Unclear,Unclear,High,38752718,Leveraging Serial Low-Dose CT Scans in Radiomics-b…,2024
Unclear,Low,Low,Low,32739872,Development and validation of a novel scoring syst…,2020
