paper_id,title,year,journal,category,cat_label,auc,sensitivity,specificity,sample_size,study_design,validation_type,tier,auc_clip,logit_auc,var_logit,weight,design_group,val_group
lung_LDCT_traditional_001,A Classifier for Improving Early Lung Cancer Diagnosis Incorporating Artificial ,,Frontiers in oncology,LDCT_traditional,LDCT + Traditional ML,0.895,0.8953,0.8131,560.0,prospective_cohort,external_validation,low_if,0.895,2.1428633681173324,0.019002014213506634,52.626,Prospective/RCT,External validation
lung_LDCT_traditional_003,Beyond nodules: body composition as a biomarker for future lung cancer.,,European radiology,LDCT_traditional,LDCT + Traditional ML,0.77,,,3635.0,retrospective_cohort,external_validation,low_if,0.77,1.2083112059245342,0.0015533775476362641,643.7585,Retrospective/Other,External validation
lung_LDCT_traditional_004,Integrating deep learning of low-dose computed tomography with clinical data for,,Chest,LDCT_traditional,LDCT + Traditional ML,0.64,,,22469.0,retrospective_cohort,external_validation,extended,0.64,0.5753641449035619,0.00019316737628634022,5176.857599999999,Retrospective/Other,External validation
lung_LDCT_traditional_006,Potential of Inflammatory Protein Signatures for Enhanced Selection of People fo,,Cancers,LDCT_traditional,LDCT + Traditional ML,0.811,,,9940.0,RCT,external_validation,extended,0.811,1.456521039055771,0.000656343150270959,1523.5932599999996,Prospective/RCT,External validation
lung_LDCT_traditional_007,Deep learning predicts cardiovascular disease risks from lung cancer screening l,,Nature communications,LDCT_traditional,LDCT + Traditional ML,0.768,,,2085.0,other,none,core,0.768,1.1970523614813624,0.00269181206758731,371.49695999999994,Retrospective/Other,No external validation
lung_LDCT_traditional_008,Cost-effective shallow genome-wide sequencing for profiling plasma cfDNA signatu,,"Future oncology (London, England)",LDCT_traditional,LDCT + Traditional ML,0.97,,0.92,,other,external_validation,low_if,0.97,3.4760986898352724,0.019605628854466633,51.00576,Retrospective/Other,External validation
lung_LDCT_traditional_009,A multivariate cell-based liquid biopsy for lung nodule risk stratification: Ana,,The journal of liquid biopsy,LDCT_traditional,LDCT + Traditional ML,0.64,,,,prospective_cohort,none,extended,0.64,0.5753641449035619,0.019605628854466633,51.00576,Prospective/RCT,No external validation
lung_LDCT_traditional_010,Deep learning-based lung cancer risk assessment using chest computed tomography ,,Translational lung cancer research,LDCT_traditional,LDCT + Traditional ML,0.801,,,,prospective_cohort,none,low_if,0.801,1.3925561223438672,0.019605628854466633,51.00576,Prospective/RCT,No external validation
lung_LDCT_traditional_012,Body composition as a biomarker for assessing future lung cancer risk.,,medRxiv : the preprint server for health sciences,LDCT_traditional,LDCT + Traditional ML,0.76,,,3635.0,other,none,unknown,0.76,1.1526795099383855,0.0015082410289823597,663.024,Retrospective/Other,No external validation
lung_LDCT_traditional_013,Development of deep learning-assisted overscan decision algorithm in low-dose ch,,PloS one,LDCT_traditional,LDCT + Traditional ML,0.976,0.976,0.976,210.0,retrospective_cohort,external_validation,low_if,0.976,3.705408756065146,0.20329169919333837,4.919040000000004,Retrospective/Other,External validation
lung_LDCT_traditional_014,Non-invasive diagnosis of pulmonary nodules by circulating tumor DNA methylation,,"Lung cancer (Amsterdam, Netherlands)",LDCT_traditional,LDCT + Traditional ML,0.815,0.744,0.737,61.0,prospective_cohort,none,low_if,0.815,1.4828322881625375,0.10872785689239474,9.197275000000001,Prospective/RCT,No external validation
lung_LDCT_traditional_016,Evaluating the clinical trends and benefits of low-dose computed tomography in l,,Cancer medicine,LDCT_traditional,LDCT + Traditional ML,0.87,,,4664.0,RCT,none,low_if,0.87,1.900958761193047,0.0018957403472693,527.4984,Prospective/RCT,No external validation
lung_LDCT_traditional_017,OWL: an optimized and independently validated machine learning prediction model ,,EBioMedicine,LDCT_traditional,LDCT + Traditional ML,0.855,,,323344.0,other,none,core,0.855,1.7743677265161857,2.49460091030382e-05,40086.572400000005,Retrospective/Other,No external validation
lung_LDCT_traditional_018,Machine Learning System for Lung Neoplasms Distinguished Based on Scleral Data.,,"Diagnostics (Basel, Switzerland)",LDCT_traditional,LDCT + Traditional ML,0.897,0.836,0.828,95.0,other,none,low_if,0.897,2.1643268738291606,0.11393226385117257,8.777144999999999,Retrospective/Other,No external validation
lung_LDCT_traditional_019,Benign-malignant classification of pulmonary nodules by low-dose spiral computer,,Cancer medicine,LDCT_traditional,LDCT + Traditional ML,0.76,0.78,0.78,27636.0,other,external_validation,low_if,0.76,1.1526795099383855,0.00019838095745950486,5040.8064,Retrospective/Other,External validation
lung_LDCT_traditional_020,Leveraging Serial Low-Dose CT Scans in Radiomics-based Reinforcement Learning to,,Radiology. Cardiothoracic imaging,LDCT_traditional,LDCT + Traditional ML,0.88,,,1951.0,retrospective_cohort,none,low_if,0.88,1.9924301646902063,0.004853765745616079,206.0256,Retrospective/Other,No external validation
lung_LDCT_traditional_022,Early Detection of Lung Cancer in the NLST Dataset.,,medRxiv : the preprint server for health sciences,LDCT_traditional,LDCT + Traditional ML,0.85,,,1138.0,other,none,unknown,0.85,1.7346010553881064,0.006892036252110685,145.09500000000003,Retrospective/Other,No external validation
lung_LDCT_traditional_023,An intelligent diagnostic model for pulmonary nodules utilizing chest radiograph,,British journal of cancer,LDCT_traditional,LDCT + Traditional ML,0.933,,,1762.0,other,none,extended,0.933,2.6337125814563787,0.009078992335714414,110.14438199999992,Retrospective/Other,No external validation
lung_LDCT_traditional_024,Radiomics analysis to predict pulmonary nodule malignancy using machine learning,,Thorax,LDCT_traditional,LDCT + Traditional ML,0.93,,,6865.0,other,none,extended,0.93,2.5866893440979433,0.0022375794760260154,446.9114999999997,Retrospective/Other,No external validation
lung_LDCT_traditional_025,Lung nodule classification using radiomics model trained on degraded SDCT images,,Computer methods and programs in biomedicine,LDCT_traditional,LDCT + Traditional ML,0.81,0.81,0.81,1010.0,other,none,unknown,0.81,1.4500101755059986,0.006433391877199417,155.43899999999996,Retrospective/Other,No external validation
lung_LDCT_traditional_026,A novel multimodal prediction model based on DNA methylation biomarkers and low-,,Chinese journal of cancer research = Chung-kuo yen cheng yen chiu,LDCT_traditional,LDCT + Traditional ML,0.894,,,42.0,other,external_validation,core,0.894,2.1322666810614472,0.25125072611459853,3.980087999999999,Retrospective/Other,External validation
lung_LDCT_traditional_033,Role of sex in lung cancer risk prediction based on single low-dose chest comput,,Scientific reports,LDCT_traditional,LDCT + Traditional ML,0.89,,,,other,none,low_if,0.89,2.0907410969337694,0.019605628854466633,51.00576,Retrospective/Other,No external validation
