paper_id,title,auc_removed,pooled_auc_loo,ci_lo,ci_hi,delta_auc,abs_delta
lung_LDCT_traditional_001,A Classifier for Improving Early Lung Cancer Diagnosis Incor,0.895,0.8597,0.8409,0.8766,-0.0006,0.0006
lung_LDCT_traditional_003,Beyond nodules: body composition as a biomarker for future l,0.77,0.8616,0.8428,0.8785,0.0013,0.0013
lung_LDCT_traditional_004,Integrating deep learning of low-dose computed tomography wi,0.64,0.861,0.8468,0.8741,0.0007,0.0007
lung_LDCT_traditional_006,Potential of Inflammatory Protein Signatures for Enhanced Se,0.811,0.8613,0.8419,0.8786,0.0009,0.0009
lung_LDCT_traditional_007,Deep learning predicts cardiovascular disease risks from lun,0.768,0.8616,0.8429,0.8784,0.0013,0.0013
lung_LDCT_traditional_008,Cost-effective shallow genome-wide sequencing for profiling ,0.97,0.8571,0.8382,0.8742,-0.0032,0.0032
lung_LDCT_traditional_009,A multivariate cell-based liquid biopsy for lung nodule risk,0.64,0.8626,0.8442,0.8792,0.0023,0.0023
lung_LDCT_traditional_010,Deep learning-based lung cancer risk assessment using chest ,0.801,0.8611,0.8424,0.8779,0.0008,0.0008
lung_LDCT_traditional_012,Body composition as a biomarker for assessing future lung ca,0.76,0.8617,0.8429,0.8785,0.0014,0.0014
lung_LDCT_traditional_013,Development of deep learning-assisted overscan decision algo,0.976,0.8579,0.839,0.875,-0.0024,0.0024
lung_LDCT_traditional_014,Non-invasive diagnosis of pulmonary nodules by circulating t,0.815,0.8608,0.8422,0.8776,0.0005,0.0005
lung_LDCT_traditional_016,Evaluating the clinical trends and benefits of low-dose comp,0.87,0.8602,0.8413,0.8772,-0.0001,0.0001
lung_LDCT_traditional_017,OWL: an optimized and independently validated machine learni,0.855,0.8609,0.8405,0.8791,0.0006,0.0006
lung_LDCT_traditional_018,Machine Learning System for Lung Neoplasms Distinguished Bas,0.897,0.8598,0.841,0.8767,-0.0005,0.0005
lung_LDCT_traditional_019,Benign-malignant classification of pulmonary nodules by low-,0.76,0.8621,0.842,0.88,0.0018,0.0018
lung_LDCT_traditional_020,Leveraging Serial Low-Dose CT Scans in Radiomics-based Reinf,0.88,0.86,0.8411,0.8769,-0.0003,0.0003
